id,name
829,oceania soundtrack
830,south african hip hop
831,rock gospel brasileiro
832,guatemalan pop
833,modern ska punk
834,shakuhachi
835,salsa puertorriquena
836,yoik
837,ballroom
838,funk evangelico
839,pakistani pop
840,deep filthstep
841,indie valenciana
842,old school thrash
843,canadian electronic
844,uk dancehall
845,icelandic folk
846,country dawn
847,musique guadeloupe
848,liechtenstein
849,j-core
850,san diego rap
851,italian new wave
852,grunge
853,cancion melodica
854,neo-psychedelic
855,australian pop
856,british jazz
857,canadian experimental
858,radio symphony
859,deep smooth jazz
860,western mass indie
861,k-hop
862,kaseko
863,anadolu rock
864,experimental ambient
865,indie garage rock
866,deep house
867,vintage western
868,telugu worship
869,dubsteppe
870,hamburg electronic
871,japanese concert band
872,houston rap
873,pirate
874,indie poptimism
875,oktoberfest
876,slayer
877,bossa nova
878,cambridgeshire indie
879,horrorcore
880,christmas product
881,cantautor catala
882,canadian garage rock
883,reggaeton flow
884,afrobeat
885,nu gaze
886,singaporean mandopop
887,pop
888,electro dub
889,chamame
890,easy listening
891,liedermacher
892,vaudeville
893,aussie drill
894,classic opm
895,bubblegum dance
896,jewish cantorial
897,adoracion
898,bboy
899,delta blues
900,spanish rock
901,nz indie
902,post-hardcore
903,trap queen
904,oshare kei
905,canto popular uruguayo
906,cuatro venezolano
907,uk contemporary jazz
908,small room
909,nu metal
910,sleep
911,toronto rap
912,sinaloa indie
913,modern blues
914,macedonian folk
915,canadian classical
916,nerdcore
917,minneapolis indie
918,trap
919,malaysian hip hop
920,carnaval limburg
921,turkish edm
922,deep tropical house
923,cleveland indie
924,pop house
925,swedish classical
926,austrian jazz
927,mangue bit
928,uk experimental electronic
929,progressive post-hardcore
930,native american
931,gamecore
932,fado
933,sinogaze
934,psybreaks
935,rosary
936,irish rock
937,rap chileno
938,deep swedish rock
939,samoan pop
940,flamenco
941,jazz saxophone
942,grave wave
943,string band
944,uk diy punk
945,san diego indie
946,vintage hollywood
947,electropop
948,greek swing
949,canadian post-rock
950,trap catala
951,steel guitar
952,swiss rock
953,yugoslav new wave
954,german rock
955,indie jazz
956,classic persian pop
957,dreamgaze
958,blaskapelle
959,belgian edm
960,dirty south rap
961,disco
962,free folk
963,polish rock
964,dance-punk
965,neon pop punk
966,classic soul
967,romanian hip hop
968,a cappella
969,jewish a capella
970,american shoegaze
971,lithuanian electronic
972,manitoba country
973,argentine metal
974,nepali indie
975,polish electronica
976,belarusian electronic
977,indie siciliano
978,progressive alternative
979,viol
980,argentine heavy metal
981,melodic thrash
982,sertanejo universitario
983,euro hi-nrg
984,uk garage
985,classic belgian pop
986,danspunk
987,indie folk
988,canadian black metal
989,afro-funk
990,ukrainian indie
991,pop emo
992,nz christian
993,alternative r&b
994,j-pop boy group
995,slavic folk metal
996,baltic folk
997,urban contemporary
998,rock nacional
999,vintage swedish pop
1000,london indie
1001,viral pop
1002,ngoni
1003,serialism
1004,torch song
1005,indonesian edm
1006,ska catala
1007,laiko
1008,trinidadian reggae
1009,g funk
1010,celtic rock
1011,desert blues
1012,technical death metal
1013,ccm
1014,contemporary gospel
1015,celtic
1016,norwegian americana
1017,louisiana blues
1018,binaural
1019,rock alternatif francais
1020,villancicos
1021,west australian hip hop
1022,hamilton on indie
1023,marching band
1024,rock catala
1025,isle of wight indie
1026,australian underground hip hop
1027,korean worship
1028,rap rock
1029,euroska
1030,deep contemporary country
1031,indie deutschrap
1032,bluegrass
1033,pasodobles
1034,dark ambient
1035,malaysian tamil pop
1036,riddim
1037,cifteli
1038,sound effects
1039,russian post-punk
1040,deep chill
1041,musik anak-anak
1042,kc indie
1043,schlager
1044,dungeon synth
1045,christmas instrumental
1046,dutch singer-songwriter
1047,canadian punk
1048,south african choral
1049,malawian pop
1050,danish hip hop
1051,classical clarinet
1052,hip hop
1053,broken beat
1054,midwest americana
1055,canadian ccm
1056,deep melodic euro house
1057,rap metal
1058,west virginia indie
1059,progressive trance house
1060,la pop
1061,turkish metal
1062,electronic rock
1063,trap soul
1064,red dirt
1065,indietronica
1066,hardcore breaks
1067,breakbeat
1068,jazz boom bap
1069,chinese electropop
1070,hamburg hip hop
1071,historic orchestral performance
1072,neue deutsche harte
1073,soundtrack
1074,egyptian traditional
1075,rap cristiano
1076,cool jazz
1077,italian arena pop
1078,ghanaian pop
1079,rock cristiano
1080,japanese pop punk
1081,british country
1082,swiss pop
1083,j-reggae
1084,21st century classical
1085,vintage jazz
1086,nasheed
1087,ritmo kombina
1088,peruvian rock
1089,swedish urban
1090,christlicher rap
1091,slovenian metal
1092,j-pop
1093,rock-and-roll
1094,karneval
1095,paidika tragoudia
1096,dark trap
1097,mexican electronic
1098,uk noise rock
1099,ethio-jazz
1100,irish electronic
1101,brega romantico
1102,black 'n' roll
1103,symphonic rock
1104,french opera
1105,nouvelle chanson francaise
1106,cello
1107,kingston on indie
1108,turkish punk
1109,neo-rockabilly
1110,beach house
1111,austro-german modernism
1112,deep minimal techno
1113,charlotte nc indie
1114,cumbia villera
1115,southern hip hop
1116,frankfurt indie
1117,nightrun
1118,vintage classical singing
1119,deep ccm
1120,tagalog worship
1121,classic venezuelan pop
1122,cumbia santafesina
1123,magyar
1124,ghazal
1125,ska punk
1126,comedy rock
1127,minimal techno
1128,uk contemporary r&b
1129,newcastle nsw indie
1130,german jazz
1131,irish rebel song
1132,christian alternative rock
1133,clawhammer banjo
1134,harpsichord
1135,oriental metal
1136,hiplife
1137,afrikaans
1138,piano mpb
1139,baroque ensemble
1140,east coast hip hop
1141,venezuelan rock
1142,german underground rap
1143,japanese soul
1144,muzika l'yeladim
